target,cls,geoip_city,min_rtt_ms,worst_impossible_gap_ms,geoip_impossible,latency_verdict,ruling
zarajahan.pk,CDN,"Ottawa,CA",2.3,-72.9,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
zing.pk,CDN,"Ottawa,CA",2.3,-72.9,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
588wingames.pk,Abroad,"Los Angeles,US",257.4,167.7,False,FAR (nearest 257 ms),consistent
777sxgameapp.pk,Abroad,"Chicago,US",271.0,192.4,False,FAR (nearest 271 ms),consistent
apkzone.pk,Abroad,"Falkenstein,DE",118.6,82.4,False,FAR (nearest 119 ms),consistent
enic.pk,Abroad,"Singapore,SG",158.1,126.5,False,FAR (nearest 158 ms),consistent
hostpro.com.pk,Abroad,"Singapore,SG",156.2,124.6,False,FAR (nearest 156 ms),consistent
insta.com.pk,Abroad,"Secaucus,US",183.2,105.2,False,FAR (nearest 183 ms),consistent
nawaiwaqt.com.pk,Abroad,"Helsinki,FI",133.8,100.0,False,FAR (nearest 134 ms),consistent
pessi.gop.pk,Abroad,"London,GB",124.9,82.8,False,FAR (nearest 125 ms),consistent
pgf.com.pk,Abroad,"Dallas,US",241.1,151.9,False,FAR (nearest 241 ms),consistent
publicnews.com,Abroad,"Helsinki,FI",132.9,99.1,False,FAR (nearest 133 ms),consistent
gbn.net.pk,Pakistan,"Islamabad,PK",5.4,-2.2,True,LOCAL (~551 km of Karachi),geo-IP WRONG -> latency
topcity-1.com,Pakistan,"Islamabad,PK",2.8,1.7,False,LOCAL (~286 km of Islamabad),consistent
glory-casino.net.pk,CDN,"Toronto,CA",2.2,-74.0,True,LOCAL (~225 km of Islamabad),geo-IP WRONG -> latency
idc.net.pk,CDN,"London,GB",117.6,75.5,False,FAR (nearest 118 ms),consistent
wancom.net.pk,CDN,"Toronto,CA",2.6,-73.8,True,LOCAL (~265 km of Lahore),geo-IP WRONG -> latency
en.dailypakistan.com.pk,Abroad,"Frankfurt am Main,DE",113.1,75.2,False,FAR (nearest 113 ms),consistent
bbise.edu.pk,Pakistan,"Lahore,PK",13.4,6.5,False,LOCAL (~1368 km of Karachi),consistent
iub.edu.pk,Pakistan,"Islamabad,PK",14.6,7.0,False,LOCAL (~1491 km of Karachi),consistent
bnbwu.edu.pk,CDN,"Menifee,US",104.3,16.3,False,FAR (nearest 104 ms),consistent
ibcc.edu.pk,CDN,"Toronto,CA",2.3,-75.1,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
uos.edu.pk,CDN,"Toronto,CA",2.4,-73.9,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
zu.edu.pk,CDN,"Toronto,CA",2.4,-75.2,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
duet.edu.pk,Abroad,"Miami,US",216.8,127.6,False,FAR (nearest 217 ms),consistent
uvas.edu.pk,Abroad,"Vilnius,LT",78.4,46.6,False,FAR (nearest 78 ms),consistent
pesco.com.pk,CDN,"Toronto,CA",2.2,-73.8,True,LOCAL (~225 km of Islamabad),geo-IP WRONG -> latency
ke.com.pk,Abroad,"Washington,US",118.3,38.3,False,FAR (nearest 118 ms),consistent
efulife.com,Pakistan,"Karachi,PK",4.7,4.7,False,LOCAL (~480 km of Karachi),consistent
khushhalibank.com.pk,CDN,"Mumbai,IN",154.8,145.5,False,FAR (nearest 155 ms),consistent
mcb.com.pk,CDN,"Menifee,US",99.9,13.1,False,FAR (nearest 100 ms),consistent
epads.gov.pk,Pakistan,"Islamabad,PK",3.4,-4.3,True,LOCAL (~347 km of Karachi),geo-IP WRONG -> latency
ajk.gov.pk,CDN,"Toronto,CA",2.3,-73.9,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
joinasf.gov.pk,CDN,"Toronto,CA",2.3,-74.0,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
paknavy.gov.pk,CDN,"Toronto,CA",2.5,-74.9,True,LOCAL (~255 km of Islamabad),geo-IP WRONG -> latency
pnmc.gov.pk,CDN,"Toronto,CA",2.4,-74.0,True,LOCAL (~245 km of Islamabad),geo-IP WRONG -> latency
gbappsup.org.pk,Abroad,"Baku,AZ",120.6,104.9,False,FAR (nearest 121 ms),consistent
kppsc.gov.pk,Abroad,"Falkenstein,DE",117.9,81.7,False,FAR (nearest 118 ms),consistent
ptea.org.pk,Abroad,"London,GB",115.5,73.4,False,FAR (nearest 116 ms),consistent
cpsp.edu.pk,Pakistan,"Karachi,PK",2.8,2.7,False,LOCAL (~286 km of Karachi),consistent
gamcamedical.pk,CDN,"Singapore,SG",77.4,45.8,False,FAR (nearest 77 ms),consistent
serenepharma.com.pk,Abroad,"Helsinki,FI",134.2,100.3,False,FAR (nearest 134 ms),consistent
airblue.com,CDN,"Toronto,CA",2.3,-75.1,True,LOCAL (~235 km of Islamabad),geo-IP WRONG -> latency
